property_type_id,propertyType,zoning,bedrooms,bathrooms,squareFootage,lotSize,ownerOccupied
342,Single Family,Unknown,4.0,2.5,2726.0,8276.0,1.0
343,Single Family,Unknown,4.0,2.5,2166.0,6055.0,1.0
344,Single Family,R3-RESIDENTIAL SINGLE FAM,0.0,2.5,1920.0,12680.0,1.0
345,Single Family,Unknown,4.0,3.0,2021.0,2994.0,1.0
346,Single Family,RA8,2.0,2.5,1540.0,1016.0,1.0
347,Single Family,AA083,3.0,2.5,2849.0,15246.0,1.0
348,Single Family,Unknown,4.0,1.0,2398.0,21780.0,1.0
349,Manufactured,Unknown,0.0,0.0,0.0,0.0,1.0
350,Single Family,RURAL RESIDENTIAL,3.0,2.0,1976.0,18295.0,1.0
351,Duplex-Triplex,Unknown,7.0,4.5,3750.0,2614.0,0.0
352,Land,Unknown,0.0,0.0,0.0,6011.0,1.0
353,Single Family,Unknown,3.0,2.5,2230.0,7406.0,1.0
354,Single Family,R1,3.0,2.5,1827.0,3013.0,1.0
355,Single Family,Unknown,3.0,2.0,1264.0,11674.0,0.0
356,Single Family,20,3.0,2.5,1898.0,269201.0,1.0
357,Single Family,NR3,3.0,3.5,3230.0,3584.0,0.0
358,Manufactured,Unknown,0.0,0.0,1736.0,0.0,0.0
359,Single Family,RL,0.0,0.0,1248.0,13199.0,0.0
360,Single Family,AG,4.0,1.0,1344.0,1104682.0,1.0
361,Single Family,RS,3.0,1.0,1250.0,7405.0,1.0
362,Single Family,R1,0.0,2.5,2688.0,17162.0,1.0
363,Manufactured,Unknown,2.0,1.0,684.0,720.0,1.0
364,Single Family,Unknown,2.0,0.0,0.0,8276.0,0.0
365,Apartment,Unknown,1.0,1.0,838.0,0.0,0.0
366,Single Family,Unknown,3.0,2.0,1542.0,5227.0,1.0
367,Single Family,RM1,3.0,1.0,1280.0,1187.0,1.0
368,Condo,C2M,2.0,2.0,1051.0,0.0,1.0
369,Single Family,PD PLANNED DEVELOPMENT,3.0,2.0,1751.0,8614.0,1.0
370,Single Family,Unknown,3.0,2.0,1987.0,10454.0,0.0
371,Condo,ARRR,1.0,1.0,613.0,614.0,0.0
372,Single Family,RS4,4.0,2.0,2572.0,8680.0,1.0
373,Single Family,Unknown,4.0,3.5,3183.0,0.0,1.0
374,Single Family,32R4,2.0,2.0,900.0,7279.0,1.0
375,Single Family,Unknown,3.0,2.0,1161.0,4400.0,1.0
376,Single Family,Z297,2.0,1.0,870.0,7457.0,1.0
377,Single Family,Unknown,3.0,1.0,2101.0,6900.0,0.0
378,Single Family,Unknown,4.0,2.0,2034.0,0.0,0.0
379,Single Family,RE,3.0,2.5,2276.0,3800.0,1.0
380,Single Family,R-8,4.0,2.0,1773.0,7563.0,0.0
381,Single Family,R3PD,2.0,1.0,864.0,3920.0,0.0
382,Single Family,"0400:SGL FAM,901-1200 SQ",2.0,1.0,826.0,7876.0,1.0
383,Single Family,RS110,3.0,2.0,1056.0,0.0,1.0
384,Land,Unknown,0.0,0.0,0.0,56628.0,0.0
385,Condo,RM2.0,2.0,2.0,945.0,0.0,0.0
386,Single Family,RH1,0.0,2.0,2375.0,2848.0,1.0
387,Manufactured,R-3,3.0,2.0,1716.0,32531.0,0.0
388,Single Family,02,0.0,1.0,1825.0,13335.0,1.0
389,Single Family,C1,3.0,1.0,1486.0,3049.0,1.0
390,Single Family,LR1 (M1),4.0,1.0,1910.0,6350.0,0.0
391,Single Family,Unknown,0.0,0.0,3559.0,11718.0,1.0
392,Apartment,R4,1.0,1.0,750.0,119790.0,1.0
393,Single Family,11,3.0,1.0,1958.0,6320.0,1.0
394,Single Family,PD,3.0,2.0,2534.0,9401.0,1.0
395,Single Family,R-10,4.0,4.0,2746.0,10297.0,1.0
396,Single Family,RD-7,4.0,3.0,1983.0,5662.0,1.0
397,Condo,Unknown,2.0,2.0,1288.0,4844.0,1.0
